Complaints
The labs are essentially copy and paste exercises. I would like some questions to help assist in my learning
powerpoints are long and not engaging
The labs are so silent and the tutor is not actively explaining the codes and the purpose of the lab. 
The lectures don’t tend to add much information. I believe the usually 30 minute session can be condensed into 5 minutes.
that it can become a bit boring and repetitive at times
that there isn't enough time for us to talk with the tutor about the labs.
"Juniper topics, as we are used to cisco networking, now one needs to learn the juniper basics and then use it in network automation"
The broken monitors
Coding can be a bitch 
Some of the pro tools training is a little unnecessary 
How hard physics can be 
The fast pace content and some of the demonstrators in the lab session not having advice or help when it’s needed
The way Assessment will be taking place.
Theory - though I understand it’s necessary 
The demonstrators ask me every 5 mins if im ok. I get that they are trying to help and sometimes i do need the help but can be a bit much.
The use of technical language during some explanations as it makes some content hard to understand without a background in the subject 
"Only half of the lecture session is used, so lots of content is missed for no reason.
Lab sessions do not fill the 2 hours."
That it starts at 9am
"Lugging around heavy things, but it is wat it is "
The obscene physics and maths based information dump given over 2 hours of lectures it’s a lot I stg. I’d prefer if we did some practice questions at least in tandem to break it up
I emailed the head at the start of the term but I have not received response.
The shorter session sometimes just feels like a repeat of the first one
The mode of teaching is not effective enough 
"Not sure what to expect from Assessment Centre or Job Interview.
Only half the 2 hour lecture is used,  and then it is repeated in lab session."
I sometimes struggle with the more fiddly parts of the soldering due to my poor coordination 
"Group work.
Assessment structure.
Lack of guidance about what product to make and what the criteria for the product is.
Session length and time.
Very vague about what we need to make."
how short the deadlines are.
"The way in which team's are organised, as it is difficult to be able to contact and arrange meetings time for everyone."
Teammates with a lack of motivation 
Seminar on monday is not as structured as it could be. Needs to be more organised and students should be kicked out for not paying attention.
Team members need to have more consequences for not doing their work
"I do not like that we were put into random groups, I want to work with my friends."
How the groups have been selected as I have been put into a group with people in another class which makes it difficult to meet and work together as our m timetables clash
I do not like wokring in groups
The teacher does not explain how the functions work 
The way questions are presented with questions usually being a simple what is the number of the MAC address in such that doesn't broaden the knowledge of the user instead of just filling in a value for some questions. To combat this there could be a custom word document that has its own set of questions that are tailored to have more in depth answers to test the understanding of the students.
How it can be difficult to complete all the tasks for the deadlines as they are all back to back so it feels like I have to rush to get them all done on time
"The potential for team members to not come in due to unforeseen circumstances or simply not wanting to come in, with clear repercussions that should be stated should a teammate fail to do their work or not come into the timetabled sessions, as it harms the team as a whole as the workload is increased due to team members having multiple tasks to be completed."
The 1hour class on Mondays is too short
No clear guideline on the workflow
Learning the all coding methods is quite difficult in short time so its little bit complecated 
For now  its little confusing to understand all the phases but may be i will try more and more then i will get better understanding in module 
"100% Exam based. It's ok, but would prefer some more coursework based marks."
"the times, also the rotation, our lab work can only be done in millennium point, why not do all classes in millennium point and Parkside, to reduce walking across all 4 buildings to get to classes and group Tutor meetings"
